Country Code,Rounded Coordinates
LIE,"[(47.0, 9.375), (47.5, 9.375)]"
CZE,"[(49.5, 16.25), (48.5, 14.375), (49.5, 16.875), (50.0, 12.5), (50.0, 18.125), (50.0, 18.75), (50.5, 11.875), (51.0, 13.75), (50.0, 15.0), (50.0, 15.625), (50.5, 14.375), (50.5, 17.5), (49.0, 16.875), (49.0, 16.25), (48.5, 13.75), (49.0, 13.75), (49.0, 13.125), (49.5, 18.75), (49.5, 18.125), (48.5, 16.875), (48.5, 16.25), (49.5, 12.5), (49.5, 15.0), (49.5, 15.625), (50.0, 14.375), (50.5, 13.125), (50.5, 13.75), (51.0, 15.0), (51.0, 15.625), (50.5, 16.25), (50.5, 16.875), (50.0, 17.5), (49.0, 18.125), (48.5, 15.0), (49.0, 15.625), (49.0, 15.0), (49.5, 14.375), (49.5, 13.75), (49.5, 17.5), (50.0, 16.25), (50.0, 16.875), (50.0, 13.125), (50.5, 12.5), (50.0, 13.75), (51.0, 14.375), (50.5, 15.625), (50.5, 15.0), (49.0, 14.375), (49.5, 13.125), (49.0, 17.5)]"
MLT,"[(36.0, 14.375)]"
FIN,"[(65.5, 30.0), (66.5, 29.375), (68.5, 26.25), (68.5, 26.875), (63.5, 21.25), (63.5, 21.875), (64.0, 23.125), (64.0, 23.75), (62.0, 26.25), (63.5, 30.0), (63.5, 30.625), (62.0, 26.875), (63.0, 25.0), (63.0, 25.625), (69.0, 22.5), (60.0, 19.375), (67.5, 30.0), (69.5, 27.5), (61.5, 23.125), (61.5, 23.75), (61.0, 27.5), (66.0, 23.75), (68.5, 28.75), (68.5, 28.125), (63.5, 23.125), (62.0, 28.125), (62.0, 28.75), (63.0, 27.5), (63.5, 23.75), (64.0, 25.0), (64.0, 25.625), (64.5, 24.375), (67.5, 23.75), (67.5, 23.125), (67.0, 27.5), (69.0, 24.375), (60.0, 21.875), (69.5, 29.375), (61.5, 25.0), (61.5, 25.625), (61.0, 29.375), (66.0, 25.0), (66.0, 25.625), (65.5, 25.0), (65.5, 25.625), (66.5, 24.375), (65.0, 29.375), (68.5, 21.875), (68.5, 21.25), (62.0, 21.25), (62.0, 21.875), (63.5, 25.0), (62.0, 30.625), (62.0, 30.0), (63.0, 29.375), (63.5, 25.625), (64.0, 27.5), (62.5, 29.375), (64.5, 26.25), (64.5, 26.875), (67.5, 25.0), (67.5, 25.625), (67.0, 29.375), (69.0, 26.25), (60.0, 23.125), (60.0, 23.75), (61.0, 22.5), (69.0, 26.875), (61.5, 27.5), (65.5, 27.5), (66.5, 26.25), (68.5, 23.125), (68.5, 23.75), (66.5, 26.875), (62.0, 23.125), (62.0, 23.75), (63.0, 22.5), (63.0, 31.25), (63.0, 31.875), (62.5, 22.5), (62.5, 31.25), (64.5, 28.125), (64.5, 28.75), (67.5, 27.5), (69.0, 28.75), (69.0, 28.125), (60.0, 25.625), (60.0, 25.0), (70.0, 27.5), (61.0, 24.375), (60.5, 24.375), (65.0, 24.375), (65.5, 29.375), (66.5, 28.125), (68.5, 25.0), (66.5, 28.75), (68.5, 25.625), (68.0, 29.375), (62.0, 25.0), (62.0, 25.625), (63.0, 24.375), (62.5, 24.375), (67.0, 24.375), (64.5, 30.0), (64.5, 30.625), (69.0, 21.25), (69.0, 21.875), (61.0, 26.25), (61.0, 26.875), (60.5, 26.875), (60.5, 26.25), (65.0, 26.25), (65.0, 26.875), (68.5, 27.5), (63.0, 26.25), (63.0, 26.875), (62.5, 26.25), (64.5, 23.75), (62.5, 26.875), (67.0, 26.25), (69.0, 23.75), (60.0, 20.0), (67.0, 26.875), (61.0, 28.75), (60.5, 19.375), (61.0, 28.125), (60.5, 28.125), (66.5, 23.75), (65.0, 28.125), (65.0, 28.75), (66.0, 27.5), (68.0, 24.375), (63.0, 28.125), (63.0, 28.75), (62.5, 28.125), (62.5, 28.75), (63.5, 27.5), (64.5, 25.0), (64.0, 29.375), (64.5, 25.625), (69.0, 25.0), (60.0, 22.5), (69.0, 25.625), (61.0, 21.25), (61.0, 21.875), (67.0, 28.125), (67.0, 28.75), (60.5, 21.875), (60.5, 21.25), (61.5, 29.375), (66.5, 25.0), (65.0, 30.0), (68.5, 22.5), (66.0, 29.375), (66.5, 25.625), (68.0, 26.25), (68.0, 26.875), (63.0, 21.25), (63.0, 21.875), (63.0, 30.0), (62.5, 21.25), (62.5, 21.875), (63.0, 30.625), (64.0, 22.5), (62.5, 30.625), (62.5, 30.0), (63.5, 29.375), (64.5, 27.5), (69.0, 27.5), (70.0, 26.25), (70.0, 26.875), (61.0, 23.125), (61.0, 23.75), (67.5, 29.375), (69.5, 26.25), (60.5, 23.125), (60.5, 23.75), (61.5, 22.5), (69.5, 26.875), (66.5, 27.5), (68.0, 28.75), (68.0, 28.125), (63.0, 23.125), (63.0, 23.75), (62.5, 23.125), (62.5, 23.75), (63.5, 22.5), (62.0, 27.5), (64.0, 24.375), (67.0, 23.75), (69.0, 20.625), (64.5, 29.375), (70.0, 28.125), (70.0, 28.75), (61.0, 25.0), (61.0, 25.625), (69.5, 28.75), (60.5, 25.625), (60.5, 25.0), (61.5, 24.375), (69.5, 28.125), (65.0, 25.0), (65.0, 25.625), (66.0, 24.375), (68.0, 30.0), (65.5, 24.375), (62.5, 25.0), (62.5, 25.625), (63.5, 24.375), (62.0, 29.375), (64.0, 26.25), (64.0, 26.875), (67.0, 25.0), (67.0, 25.625), (67.5, 24.375), (69.5, 21.25), (69.5, 21.875), (60.5, 27.5), (61.5, 26.25), (61.5, 26.875), (65.0, 27.5), (66.0, 26.25), (68.0, 23.75), (68.0, 23.125), (66.0, 26.875), (65.5, 26.25), (65.5, 26.875), (62.0, 22.5), (62.5, 27.5), (63.5, 26.25), (63.5, 26.875), (64.0, 28.125), (64.0, 28.75), (67.5, 26.25), (67.5, 26.875), (60.5, 20.0), (60.0, 24.375), (61.5, 28.125), (61.5, 28.75), (66.0, 28.125), (66.0, 28.75), (68.0, 25.0), (68.0, 25.625), (65.5, 28.125), (65.5, 28.75), (68.5, 24.375), (62.0, 24.375), (63.5, 28.125), (63.5, 28.75), (64.0, 30.625), (64.0, 30.0), (67.5, 28.125), (69.5, 25.625), (60.5, 22.5), (67.5, 28.75), (61.5, 21.25), (61.5, 21.875), (61.5, 30.0), (66.0, 30.0), (68.0, 27.5)]"
LTU,"[(54.0, 25.625), (54.0, 25.0), (56.0, 25.0), (55.0, 23.125), (56.0, 25.625), (54.5, 24.375), (56.5, 21.875), (55.0, 26.25), (55.0, 26.875), (55.0, 23.75), (56.5, 24.375), (55.5, 22.5), (55.5, 25.0), (55.5, 25.625), (56.0, 22.5), (56.0, 23.125), (56.0, 23.75), (55.0, 22.5), (54.0, 24.375), (56.0, 21.25), (54.5, 23.125), (55.0, 25.625), (54.5, 23.75), (55.0, 25.0), (56.5, 23.125), (55.5, 21.25), (56.5, 23.75), (55.5, 21.875), (56.0, 21.875), (55.5, 24.375), (56.0, 24.375), (54.0, 23.75), (54.0, 23.125), (54.5, 25.625), (55.0, 21.875), (55.0, 21.25), (54.5, 22.5), (56.0, 26.25), (56.5, 25.0), (54.5, 25.0), (55.0, 24.375), (56.5, 22.5), (55.5, 23.125), (55.5, 26.25), (55.5, 26.875), (55.5, 23.75)]"
RUS,"[(66.0, 39.375), (65.5, 30.0), (66.5, 29.375), (55.0, 20.0), (55.0, 20.625), (63.5, 30.625), (63.5, 30.0), (53.0, 32.5), (49.5, 40.0), (54.0, 31.875), (54.0, 31.25), (56.0, 28.75), (56.0, 28.125), (45.0, 37.5), (67.5, 30.0), (58.5, 27.5), (64.5, 40.0), (64.5, 40.625), (60.0, 28.125), (45.5, 36.875), (60.0, 28.75), (51.0, 34.375), (50.0, 36.875), (50.0, 36.25), (52.0, 33.125), (44.0, 38.75), (57.5, 28.125), (68.5, 28.75), (65.0, 36.25), (65.0, 36.875), (66.5, 40.625), (54.5, 20.0), (54.5, 20.625), (55.0, 22.5), (46.5, 37.5), (48.0, 38.75), (68.5, 37.5), (66.5, 40.0), (56.0, 30.625), (55.5, 21.25), (56.0, 30.0), (55.5, 30.625), (69.5, 29.375), (69.0, 33.75), (60.0, 30.0), (69.0, 33.125), (61.0, 29.375), (67.5, 41.25), (50.0, 38.75), (50.0, 38.125), (65.0, 29.375), (65.5, 34.375), (66.5, 33.75), (66.5, 33.125), (65.0, 38.125), (65.0, 38.75), (66.5, 42.5), (43.5, 40.625), (43.5, 40.0), (62.0, 30.0), (48.0, 40.0), (62.0, 30.625), (67.0, 29.375), (64.5, 35.0), (64.5, 35.625), (69.0, 35.0), (69.0, 35.625), (66.5, 35.625), (65.0, 40.0), (65.0, 40.625), (66.5, 35.0), (63.0, 31.25), (63.0, 31.875), (62.5, 31.25), (67.0, 31.875), (58.0, 28.125), (69.0, 28.75), (59.0, 27.5), (69.0, 28.125), (64.5, 37.5), (69.0, 37.5), (47.5, 39.375), (65.5, 29.375), (68.0, 29.375), (66.0, 41.25), (46.0, 38.125), (46.0, 38.75), (66.0, 41.875), (49.5, 39.375), (64.5, 30.625), (64.5, 30.0), (55.0, 31.25), (67.0, 33.75), (67.0, 33.125), (64.5, 39.375), (67.0, 42.5), (52.0, 32.5), (52.5, 31.875), (52.5, 31.25), (65.0, 35.625), (57.5, 27.5), (66.0, 34.375), (65.0, 35.0), (43.0, 41.875), (68.0, 40.0), (68.0, 40.625), (55.5, 20.625), (54.5, 22.5), (53.5, 32.5), (55.5, 29.375), (54.5, 31.25), (56.5, 28.125), (64.0, 36.25), (64.0, 36.875), (70.0, 31.25), (45.5, 37.5), (61.0, 28.125), (61.0, 28.75), (70.0, 31.875), (47.0, 38.125), (50.0, 37.5), (47.0, 38.75), (60.5, 28.75), (60.5, 28.125), (69.5, 31.25), (69.5, 31.875), (51.5, 34.375), (50.5, 36.25), (52.5, 33.75), (52.5, 33.125), (50.5, 36.875), (66.5, 32.5), (65.0, 37.5), (43.5, 39.375), (44.5, 38.75), (44.5, 38.125), (48.0, 39.375), (64.0, 38.125), (70.0, 33.125), (69.5, 33.75), (69.5, 33.125), (61.5, 29.375), (65.0, 30.0), (66.5, 34.375), (66.0, 38.75), (66.0, 38.125), (43.5, 41.25), (49.0, 40.0), (62.5, 30.625), (48.5, 40.0), (53.0, 31.875), (53.0, 31.25), (58.0, 27.5), (64.5, 36.875), (64.5, 36.25), (45.0, 36.875), (67.5, 29.375), (69.5, 35.0), (69.5, 35.625), (57.0, 28.125), (68.0, 28.75), (66.0, 40.0), (66.0, 40.625), (65.5, 40.0), (54.5, 19.375), (55.0, 21.25), (55.0, 21.875), (55.0, 30.625), (54.0, 32.5), (56.0, 29.375), (59.0, 28.125), (67.0, 32.5), (60.0, 29.375), (67.5, 40.625), (51.0, 35.0), (51.0, 35.625), (52.0, 34.375), (65.0, 34.375), (68.0, 30.0), (68.0, 39.375), (44.0, 39.375), (66.5, 41.25), (54.5, 21.875), (54.5, 21.25), (55.0, 23.125), (46.5, 38.125), (46.5, 38.75), (68.5, 38.125), (68.5, 38.75), (66.5, 41.875), (70.0, 30.625), (55.5, 31.25), (69.5, 30.0), (60.5, 27.5), (69.5, 30.625), (50.5, 35.625), (52.5, 32.5), (50.0, 39.375), (66.0, 35.0), (44.5, 37.5), (43.0, 42.5), (65.5, 35.0), (59.5, 28.125), (64.0, 37.5), (70.0, 32.5), (47.0, 39.375), (69.5, 32.5), (69.0, 36.25), (69.0, 36.875), (47.5, 38.75), (47.5, 38.125), (50.5, 37.5), (66.0, 37.5), (66.5, 36.875), (66.5, 36.25), (48.5, 39.375), (64.0, 30.0), (64.0, 30.625), (69.0, 29.375), (64.5, 38.125), (69.5, 34.375), (64.5, 38.75), (67.0, 41.25), (61.5, 30.0), (52.0, 31.875), (66.0, 30.0), (57.0, 27.5)]"
BGR,"[(43.5, 24.375), (42.5, 26.25), (42.5, 26.875), (43.0, 26.875), (42.5, 25.0), (42.5, 25.625), (42.0, 23.125), (42.0, 23.75), (43.5, 27.5), (42.0, 26.875), (42.0, 26.25), (41.5, 23.75), (41.5, 23.125), (42.5, 22.5), (42.5, 28.125), (41.5, 26.25), (43.5, 23.125), (44.0, 23.125), (44.0, 23.75), (43.5, 23.75), (44.0, 26.25), (44.0, 26.875), (43.0, 24.375), (43.0, 25.625), (43.5, 26.25), (43.5, 26.875), (43.0, 22.5), (43.0, 23.75), (43.0, 26.25), (42.0, 22.5), (42.0, 28.125), (44.0, 25.625), (41.5, 25.625), (41.5, 25.0), (43.0, 23.125), (43.5, 22.5), (44.0, 22.5), (43.5, 25.0), (42.5, 27.5), (43.5, 25.625), (44.0, 28.125), (43.5, 28.125), (43.5, 28.75), (42.5, 24.375), (42.0, 25.0), (42.0, 25.625), (41.0, 25.625), (41.0, 25.0), (42.0, 24.375), (42.5, 23.125), (42.5, 23.75), (43.0, 25.0), (42.0, 27.5), (44.0, 24.375), (41.5, 24.375), (43.0, 28.125), (43.0, 27.5), (44.0, 27.5)]"
GBR,"[(54.5, -0.625), (56.5, -3.125), (56.5, -3.75), (50.0, -3.75), (50.5, -4.375), (51.0, -2.5), (57.0, -7.5), (59.5, -2.5), (54.5, -7.5), (53.0, -2.5), (55.0, -5.625), (58.0, -6.25), (58.0, -6.875), (55.0, -5.0), (52.5, -5.920304394294029e-13), (61.0, -1.25), (60.5, -1.25), (51.5, -4.375), (50.5, -2.5), (60.5, -1.875), (51.0, 0.625), (51.0, -0.625), (57.0, -5.625), (57.0, -5.0), (53.5, -4.375), (54.5, -5.625), (53.0, 0.625), (55.0, -3.125), (55.0, -3.75), (54.5, -5.0), (56.0, -4.375), (53.0, -0.625), (58.5, -5.625), (58.5, -5.0), (51.5, -2.5), (50.5, -0.625), (52.5, -3.75), (52.5, -3.125), (57.0, -3.75), (57.0, -3.125), (54.5, -3.125), (56.5, -6.875), (56.5, -6.25), (55.0, -1.25), (56.0, -2.5), (51.0, -5.920304394294029e-13), (54.5, -3.75), (55.0, -1.875), (59.0, -3.125), (58.5, -3.125), (58.5, -3.75), (52.5, -1.875), (52.5, -1.25), (57.0, -1.875), (53.0, -5.920304394294029e-13), (57.5, -2.5), (53.0, -5.0), (54.0, -6.25), (54.0, -6.875), (54.5, -1.25), (54.5, -1.875), (50.5, -5.920304394294029e-13), (50.5, -5.0), (51.0, -3.75), (51.0, -3.125), (52.0, -4.375), (52.5, 1.875), (52.5, 1.25), (54.5, -8.125), (53.0, -3.75), (55.0, -6.875), (55.0, -6.25), (53.0, -3.125), (58.0, -4.375), (50.5, -3.125), (50.5, -3.75), (51.0, -1.25), (51.0, -1.875), (52.0, -2.5), (57.0, -6.25), (57.5, -7.5), (54.5, -6.25), (54.5, -6.875), (55.0, -4.375), (53.0, -1.875), (56.0, -5.0), (56.0, -5.625), (53.0, -1.25), (54.0, -2.5), (53.5, -2.5), (55.5, -5.0), (55.5, -5.625), (58.5, -6.25), (58.5, -6.875), (50.5, -1.875), (50.5, -1.25), (51.0, 1.25), (52.5, -4.375), (52.0, 0.625), (52.0, -0.625), (51.5, 0.625), (51.5, -0.625), (57.5, -5.625), (57.5, -5.0), (53.0, 1.25), (53.0, 1.875), (54.0, -0.625), (56.0, -3.125), (56.0, -3.75), (53.5, -0.625), (55.5, -3.75), (58.5, -4.375), (55.5, -3.125), (56.5, -4.375), (57.5, -3.75), (57.5, -3.125), (54.0, -7.5), (56.0, -1.875), (52.0, -5.920304394294029e-13), (55.5, -1.875), (56.5, -2.5), (51.5, -5.920304394294029e-13), (60.0, -1.25), (51.0, -4.375), (60.0, -1.875), (52.0, -5.0), (51.5, -5.0), (57.5, -1.875), (53.5, -5.920304394294029e-13), (54.0, -5.625), (58.0, -5.625), (58.0, -5.0), (61.0, -0.625), (52.0, -3.75), (52.0, -3.125), (60.5, -0.625), (51.5, -3.125), (51.5, -3.75), (57.0, -4.375), (54.0, -3.125), (56.0, -6.25), (53.5, -3.75), (55.5, -6.25), (53.5, -3.125), (54.5, -4.375), (55.0, -2.5), (58.0, -3.125), (58.0, -3.75), (52.0, -1.875), (52.0, -1.25), (51.5, -1.875), (51.5, -1.25), (52.5, -2.5), (57.5, -6.25), (57.5, -6.875), (57.0, -2.5), (54.0, -1.875), (54.0, -1.25), (53.5, -1.875), (55.5, -4.375), (53.5, -1.25), (56.5, -5.625), (56.5, -5.0), (54.5, -2.5), (59.0, -2.5), (50.0, -5.0), (50.0, -5.625), (52.0, 1.875), (52.0, 1.25), (51.5, 1.25), (52.5, -0.625), (52.5, 0.625), (57.5, -4.375), (54.0, -5.920304394294029e-13), (54.0, -8.125), (53.0, -4.375), (55.0, -7.5), (55.5, -2.5)]"
GRC,"[(38.0, 23.75), (38.0, 23.125), (39.5, 20.0), (39.5, 20.625), (39.0, 24.375), (37.0, 24.375), (36.5, 24.375), (38.5, 21.875), (38.5, 21.25), (41.0, 24.375), (35.0, 26.25), (39.5, 22.5), (40.5, 21.25), (39.0, 26.25), (39.0, 26.875), (40.5, 21.875), (37.0, 26.875), (36.5, 26.25), (36.5, 26.875), (38.5, 23.75), (38.5, 23.125), (41.0, 26.25), (40.5, 23.75), (40.5, 23.125), (36.5, 28.125), (38.5, 25.625), (39.0, 21.25), (39.0, 21.875), (40.0, 20.0), (40.0, 20.625), (40.5, 25.625), (40.5, 25.0), (37.0, 21.875), (36.5, 21.875), (37.5, 20.625), (41.0, 21.25), (41.0, 21.875), (35.0, 23.75), (39.0, 23.75), (38.0, 25.0), (38.0, 25.625), (39.0, 23.125), (40.0, 22.5), (37.0, 23.125), (36.5, 23.125), (38.5, 20.625), (37.5, 22.5), (36.0, 27.5), (41.0, 23.75), (41.0, 23.125), (41.5, 22.5), (35.0, 25.625), (35.0, 25.0), (35.5, 24.375), (40.5, 20.625), (39.0, 25.625), (40.0, 24.375), (36.5, 25.625), (36.5, 25.0), (37.5, 24.375), (38.5, 22.5), (41.0, 25.0), (41.0, 25.625), (41.5, 24.375), (38.0, 20.625), (35.5, 26.25), (35.5, 26.875), (39.5, 26.25), (36.5, 27.5), (37.5, 26.25), (37.5, 26.875), (41.5, 26.25), (41.5, 26.875), (39.0, 20.625), (38.0, 22.5), (40.0, 19.375), (39.5, 19.375), (39.0, 22.5), (38.0, 24.375), (40.0, 21.25), (40.0, 21.875), (39.5, 21.25), (39.5, 21.875), (37.5, 21.25), (36.0, 26.875), (37.5, 21.875), (37.0, 25.0), (37.0, 25.625), (35.5, 23.75), (38.0, 26.875), (38.0, 26.25), (40.0, 23.75), (40.0, 23.125), (39.5, 23.125), (40.5, 22.5), (37.5, 23.75), (36.0, 28.125), (37.5, 23.125), (37.0, 27.5), (38.5, 24.375), (41.5, 23.125), (41.5, 23.75), (35.5, 25.0), (35.5, 25.625), (40.0, 25.625), (40.0, 25.0), (39.5, 25.625), (40.5, 24.375), (37.5, 25.0), (38.5, 26.25), (41.5, 25.0), (41.5, 25.625), (38.0, 21.25), (35.5, 27.5), (38.0, 21.875), (40.5, 26.25), (36.0, 23.125), (37.0, 22.5), (36.5, 22.5), (41.0, 22.5), (35.0, 24.375)]"
IMY,"[(54.0, -4.375), (54.5, -4.375), (54.0, -5.0)]"
ISL,"[(65.0, -21.875), (65.0, -21.25), (65.5, -16.875), (65.5, -16.25), (64.5, -15.625), (64.5, -15.0), (65.5, -23.125), (65.5, -23.75), (65.0, -19.375), (66.5, -15.0), (66.5, -15.625), (64.5, -22.5), (64.5, -13.75), (66.5, -22.5), (65.0, -17.5), (66.0, -18.75), (66.0, -18.125), (64.5, -20.625), (63.5, -18.125), (63.5, -18.75), (64.0, -16.25), (64.0, -16.875), (64.5, -20.0), (65.0, -15.625), (65.0, -15.0), (66.0, -16.875), (66.0, -16.25), (64.5, -18.75), (64.5, -18.125), (65.0, -22.5), (66.0, -23.75), (66.0, -23.125), (65.0, -13.75), (66.0, -14.375), (65.5, -14.375), (64.0, -21.25), (64.0, -21.875), (64.5, -16.875), (64.5, -16.25), (65.0, -20.625), (65.0, -20.0), (66.0, -21.875), (66.0, -21.25), (65.5, -21.875), (65.5, -21.25), (64.5, -23.75), (64.0, -19.375), (65.0, -18.75), (65.0, -18.125), (66.0, -19.375), (65.5, -19.375), (63.5, -19.375), (64.0, -17.5), (66.0, -17.5), (65.5, -17.5), (63.5, -17.5), (64.0, -15.625), (65.0, -23.125), (65.0, -23.75), (66.0, -24.375), (66.0, -15.625), (66.0, -15.0), (65.5, -24.375), (65.5, -15.0), (65.5, -15.625), (66.5, -16.25), (66.5, -16.875), (64.0, -22.5), (64.5, -14.375), (66.0, -22.5), (65.5, -22.5), (66.5, -23.125), (65.5, -13.75), (64.0, -20.625), (64.0, -20.0), (64.5, -21.875), (64.5, -21.25), (66.0, -20.0), (66.0, -20.625), (65.5, -20.625), (65.5, -20.0), (66.5, -21.875), (65.0, -16.875), (65.0, -16.25), (63.5, -20.0), (63.5, -20.625), (64.0, -18.75), (64.0, -18.125), (64.5, -19.375), (65.5, -18.125), (65.5, -18.75), (65.0, -14.375), (64.5, -17.5)]"
MDA,"[(48.0, 27.5), (46.5, 29.375), (48.5, 26.875), (47.0, 28.125), (47.5, 27.5), (47.0, 28.75), (46.5, 28.125), (48.0, 26.875), (46.5, 28.75), (48.0, 29.375), (48.5, 28.125), (47.0, 27.5), (47.0, 30.0), (47.5, 29.375), (46.0, 28.125), (46.0, 28.75), (46.5, 30.0), (48.0, 28.75), (48.0, 28.125), (48.5, 27.5), (45.5, 28.125), (45.5, 28.75), (47.0, 29.375), (47.5, 28.125), (47.5, 28.75)]"
FRA,"[(45.0, 1.25), (47.0, -2.5), (45.5, 6.875), (45.0, 1.875), (45.5, 6.25), (44.0, -1.25), (43.5, -1.25), (42.5, 1.875), (42.5, 1.25), (43.0, 3.125), (43.5, -1.875), (46.0, 2.5), (48.0, -1.875), (48.0, -1.25), (49.0, 7.5), (48.5, -2.5), (48.5, 7.5), (45.5, -1.25), (45.0, 3.125), (45.0, 3.75), (47.0, -0.625), (47.0, 0.625), (46.0, -5.920304394294029e-13), (44.0, -5.920304394294029e-13), (48.5, 5.625), (43.5, 1.25), (42.5, 3.125), (43.5, 1.875), (43.0, 5.625), (44.5, -0.625), (44.5, 0.625), (46.0, 4.375), (48.0, 1.25), (48.0, 1.875), (49.0, -0.625), (49.0, 0.625), (46.5, 3.125), (46.5, 3.75), (48.5, -0.625), (48.5, 0.625), (45.5, 1.25), (45.5, 1.875), (45.0, 5.0), (45.0, 5.625), (47.0, 2.5), (51.0, 2.5), (43.5, 3.75), (43.5, 3.125), (44.5, 2.5), (46.0, 6.25), (46.0, 6.875), (49.0, 2.5), (47.0, -5.920304394294029e-13), (46.5, 5.0), (46.5, 5.625), (48.5, 2.5), (49.5, 1.25), (49.5, 1.875), (47.0, 4.375), (44.5, -5.920304394294029e-13), (47.5, 3.125), (47.5, 3.75), (50.5, 2.5), (48.5, -5.920304394294029e-13), (43.0, 0.625), (41.5, 8.75), (46.0, -1.25), (43.0, -0.625), (44.5, 4.375), (43.0, 9.375), (49.0, 4.375), (48.5, -5.0), (48.5, 4.375), (49.5, 3.125), (49.5, 3.75), (45.0, -0.625), (45.0, 0.625), (47.0, 6.875), (47.0, 6.25), (47.5, 5.0), (50.5, 4.375), (47.5, 5.625), (42.5, 0.625), (43.0, 2.5), (44.0, 1.25), (42.5, 9.375), (49.0, -3.75), (44.5, 6.875), (49.0, -3.125), (44.0, 1.875), (44.5, 6.25), (46.5, -0.625), (48.5, -3.75), (48.5, -3.125), (46.5, 0.625), (48.5, 6.25), (48.5, 6.875), (49.5, 5.625), (49.5, 5.0), (45.0, 2.5), (47.0, -1.875), (47.0, -1.25), (43.0, -5.920304394294029e-13), (47.5, -2.5), (50.0, 1.25), (47.5, 7.5), (50.0, 1.875), (42.5, 2.5), (44.5, -1.25), (44.0, 3.125), (44.0, 3.75), (49.0, -1.875), (49.0, -1.25), (45.0, -5.920304394294029e-13), (46.5, 2.5), (48.5, -1.875), (48.5, -1.25), (48.0, 3.125), (48.0, 3.75), (48.5, 8.125), (45.0, 4.375), (47.0, 1.25), (47.0, 1.875), (45.5, 3.125), (45.5, 3.75), (47.5, -0.625), (47.5, 0.625), (51.0, 1.875), (46.5, -5.920304394294029e-13), (50.0, 3.125), (50.0, 3.75), (49.0, -5.920304394294029e-13), (44.5, 1.25), (43.0, 6.875), (42.0, 8.75), (43.0, 6.25), (44.0, 5.0), (44.0, 5.625), (44.5, 1.875), (43.5, 5.625), (43.5, 5.0), (48.0, -4.375), (46.5, 4.375), (49.5, -0.625), (49.5, 0.625), (48.0, 5.0), (48.0, 5.625), (48.5, 1.25), (48.5, 1.875), (45.0, 6.875), (45.0, 6.25), (45.5, 5.0), (45.5, 5.625), (50.5, 1.25), (50.5, 1.875), (51.0, 3.125), (50.0, 5.0), (47.5, 2.5), (43.0, -1.25), (44.0, 7.5), (46.0, 1.25), (43.5, 7.5), (46.5, 6.25), (46.5, 6.875), (46.0, 1.875), (48.0, -2.5), (48.0, 7.5), (48.5, 3.125), (49.0, 6.875), (47.5, -5.920304394294029e-13), (48.5, 3.75), (45.0, -1.25), (49.0, 6.25), (49.5, 2.5), (47.5, 4.375), (43.0, 1.25), (49.5, -5.920304394294029e-13), (43.0, 1.875), (44.0, -0.625), (44.0, 0.625), (43.5, -0.625), (46.5, -1.25), (46.5, -1.875), (48.5, -4.375), (43.5, 0.625), (46.0, 3.125), (46.0, 3.75), (48.0, -0.625), (48.0, 0.625), (49.5, 4.375), (49.0, 8.125), (45.5, -0.625), (47.5, -3.125), (45.5, 0.625), (42.5, -5.920304394294029e-13), (50.0, 0.625), (47.5, 6.875), (47.5, 6.25), (44.0, 2.5), (43.5, 2.5), (46.5, 1.25), (46.5, 1.875), (46.0, 5.0), (46.0, 5.625), (48.0, 2.5), (49.0, 1.25), (49.0, 1.875), (49.5, 6.25), (49.5, 6.875), (45.5, 2.5), (47.5, -1.875), (47.5, -1.25), (43.5, -5.920304394294029e-13), (47.0, 3.125), (47.0, 3.75), (50.0, 2.5), (48.0, -5.920304394294029e-13), (44.0, 4.375), (43.5, 4.375), (48.0, -5.0), (44.5, 3.125), (44.5, 3.75), (49.5, -1.875), (49.5, -1.25), (45.5, -5.920304394294029e-13), (48.0, 4.375), (49.0, 3.125), (49.0, 3.75), (45.5, 4.375), (47.5, 1.25), (47.5, 1.875), (47.0, 5.0), (50.0, 4.375), (47.0, 5.625), (42.0, 9.375), (50.5, 3.125), (50.5, 3.75), (44.0, 6.875), (44.0, 6.25), (41.5, 9.375), (43.5, 6.875), (42.5, 8.75), (48.0, -3.75), (43.5, 6.25), (44.5, 5.0), (44.5, 5.625), (46.0, -0.625), (46.0, 0.625), (48.0, -3.125), (48.0, 6.25), (48.0, 6.875), (49.0, 5.0), (49.0, 5.625), (48.5, 5.0)]"
SRB,"[(45.0, 19.375), (45.5, 18.75), (45.5, 21.25), (42.5, 20.0), (42.0, 20.625), (43.0, 21.25), (46.0, 20.625), (46.0, 20.0), (42.5, 22.5), (44.5, 19.375), (43.5, 23.125), (43.0, 21.875), (44.5, 22.5), (43.5, 20.0), (43.5, 20.625), (44.0, 20.0), (44.0, 20.625), (44.5, 20.0), (44.5, 20.625), (45.0, 18.75), (45.0, 21.25), (45.5, 20.625), (45.0, 21.875), (45.5, 20.0), (43.0, 20.0), (43.0, 20.625), (42.5, 21.875), (42.5, 21.25), (43.0, 23.125), (43.5, 22.5), (44.0, 22.5), (44.5, 21.875), (43.5, 19.375), (44.0, 19.375), (46.0, 19.375), (44.5, 21.25), (43.5, 21.875), (45.0, 20.0), (45.5, 19.375), (45.0, 20.625), (42.0, 21.875), (42.0, 21.25), (44.0, 21.25), (43.0, 19.375), (46.0, 18.75), (42.5, 20.625), (44.0, 21.875), (43.0, 22.5), (43.5, 21.25)]"
