Country Code,Rounded Coordinates
ITA,"[(40.5, 10.0), (45.5, 6.875), (45.0, 10.0), (45.0, 10.625), (37.0, 15.0), (37.0, 15.625), (42.0, 11.875), (42.5, 10.625), (42.5, 10.0), (41.0, 15.0), (41.0, 15.625), (43.0, 12.5), (44.5, 7.5), (46.0, 11.25), (46.0, 11.875), (38.0, 16.25), (46.5, 10.0), (46.5, 10.625), (45.5, 8.125), (45.5, 8.75), (45.0, 12.5), (41.0, 8.125), (41.0, 8.75), (41.5, 13.75), (41.5, 13.125), (42.5, 12.5), (41.0, 17.5), (44.5, 9.375), (46.0, 13.125), (46.0, 13.75), (44.0, 13.125), (46.5, 12.5), (39.5, 15.625), (40.5, 14.375), (47.0, 11.25), (47.0, 11.875), (38.5, 16.25), (38.5, 16.875), (41.5, 15.625), (42.5, 14.375), (46.0, 6.875), (41.5, 15.0), (44.5, 11.25), (44.5, 11.875), (39.5, 8.125), (39.5, 8.75), (40.5, 16.875), (40.5, 16.25), (45.0, 7.5), (44.0, 8.125), (40.5, 9.375), (40.5, 18.125), (40.5, 18.75), (45.0, 9.375), (37.0, 14.375), (37.5, 13.75), (37.5, 13.125), (41.0, 14.375), (44.5, 6.875), (42.0, 13.125), (44.0, 10.0), (42.0, 13.75), (43.0, 11.25), (43.0, 11.875), (44.0, 10.625), (43.5, 10.625), (43.5, 10.0), (46.5, 9.375), (39.0, 16.875), (39.0, 16.25), (40.0, 15.625), (40.0, 15.0), (45.0, 11.25), (45.0, 11.875), (45.5, 10.0), (45.5, 10.625), (37.5, 15.0), (42.5, 11.875), (41.0, 16.875), (43.0, 13.75), (42.0, 15.0), (44.0, 12.5), (42.0, 15.625), (42.5, 11.25), (41.0, 16.25), (43.0, 13.125), (43.5, 12.5), (46.5, 11.25), (46.5, 11.875), (39.0, 9.375), (40.0, 8.125), (40.0, 8.75), (45.5, 12.5), (41.0, 9.375), (38.5, 15.625), (46.0, 8.125), (46.0, 8.75), (46.5, 13.75), (46.5, 13.125), (38.0, 13.125), (38.0, 13.75), (40.0, 10.0), (45.0, 6.875), (44.0, 7.5), (46.0, 10.0), (46.0, 10.625), (40.5, 8.75), (40.5, 8.125), (38.0, 15.625), (38.0, 15.0), (45.5, 7.5), (37.5, 12.5), (41.0, 13.75), (41.0, 13.125), (42.0, 12.5), (44.0, 9.375), (41.5, 12.5), (46.5, 8.125), (44.5, 8.75), (46.5, 8.75), (44.5, 8.125), (46.0, 12.5), (45.5, 9.375), (47.0, 10.625), (36.5, 15.0), (37.5, 14.375), (42.0, 14.375), (44.0, 11.25), (44.0, 11.875), (41.5, 14.375), (43.5, 11.25), (42.5, 13.75), (42.5, 13.125), (43.5, 11.875), (44.5, 10.0), (44.5, 10.625), (39.0, 8.75), (39.0, 8.125), (40.0, 16.875), (40.0, 16.25), (39.5, 16.25), (39.5, 16.875), (40.5, 15.0), (40.5, 15.625), (45.5, 11.875), (45.5, 11.25), (47.0, 12.5), (42.0, 16.25), (41.5, 16.25), (43.5, 13.125), (43.5, 13.75), (44.5, 12.5), (46.0, 7.5), (38.0, 12.5), (40.0, 9.375), (40.0, 18.75), (39.5, 9.375), (40.0, 18.125), (40.5, 17.5), (45.0, 8.125), (45.5, 13.75), (45.5, 13.125), (45.0, 8.75), (37.0, 13.75), (44.0, 6.875), (41.5, 9.375), (43.0, 10.625), (43.0, 10.0), (46.0, 9.375), (38.0, 14.375)]"
SMR,"[(44.0, 12.5)]"
LVA,"[(57.0, 24.375), (57.5, 23.125), (57.5, 26.25), (57.5, 26.875), (57.0, 21.875), (56.0, 25.625), (56.0, 25.0), (56.0, 28.125), (56.5, 21.875), (56.5, 21.25), (58.0, 25.0), (56.5, 24.375), (58.0, 22.5), (58.0, 25.625), (56.5, 27.5), (57.0, 23.125), (57.5, 22.5), (57.0, 23.75), (57.0, 26.25), (57.0, 26.875), (57.5, 25.0), (57.5, 25.625), (57.5, 28.125), (56.0, 21.25), (56.5, 23.125), (56.5, 23.75), (56.0, 27.5), (56.5, 26.25), (58.0, 24.375), (56.5, 26.875), (57.0, 25.0), (57.0, 25.625), (57.0, 22.5), (57.0, 28.125), (57.5, 27.5), (57.5, 21.25), (57.5, 21.875), (57.5, 24.375), (56.0, 26.875), (56.0, 26.25), (56.5, 25.0), (56.5, 25.625), (56.5, 22.5), (56.5, 28.125), (55.5, 26.875), (55.5, 26.25), (58.0, 26.25), (57.0, 21.25), (57.0, 27.5)]"
AND,"[(42.5, 1.875), (42.5, 1.25)]"
MKD,"[(41.5, 23.125), (42.5, 22.5), (41.0, 20.625), (41.5, 21.25), (41.5, 21.875), (42.0, 22.5), (42.5, 21.25), (42.5, 21.875), (41.5, 22.5), (42.0, 21.25), (42.0, 21.875), (41.0, 22.5), (41.0, 21.25), (42.0, 23.125), (41.0, 21.875), (41.5, 20.625), (42.0, 20.625)]"
HUN,"[(46.5, 17.5), (48.0, 21.25), (48.5, 20.0), (48.5, 20.625), (48.0, 21.875), (45.5, 18.125), (47.0, 16.25), (47.0, 16.875), (47.0, 19.375), (47.5, 18.125), (47.5, 18.75), (47.5, 21.875), (47.5, 21.25), (46.0, 20.625), (46.0, 20.0), (46.0, 17.5), (46.5, 16.875), (46.5, 16.25), (48.0, 20.0), (48.0, 20.625), (48.0, 17.5), (48.0, 23.125), (48.5, 22.5), (46.5, 19.375), (47.0, 18.125), (47.0, 18.75), (47.0, 21.25), (47.0, 21.875), (47.5, 20.0), (47.5, 20.625), (47.5, 17.5), (46.0, 16.875), (46.0, 19.375), (48.0, 16.25), (48.0, 16.875), (46.5, 18.125), (46.5, 18.75), (46.5, 21.25), (48.0, 19.375), (46.0, 18.125), (48.0, 22.5), (48.5, 21.875), (48.5, 21.25), (48.0, 18.125), (48.0, 18.75), (47.0, 20.0), (47.0, 20.625), (47.0, 17.5), (47.5, 16.25), (47.5, 22.5), (47.5, 16.875), (47.5, 19.375), (46.0, 18.75), (46.5, 20.0), (46.0, 21.25), (46.5, 20.625)]"
FRO,"[(62.5, -6.25), (62.0, -6.875), (62.0, -6.25), (62.5, -7.5), (62.0, -7.5), (61.5, -6.875), (62.5, -6.875)]"
MCO,"[(43.5, 7.5), (44.0, 7.5)]"
UKR,"[(49.0, 23.125), (49.0, 23.75), (48.5, 23.125), (48.5, 23.75), (49.5, 22.5), (46.5, 35.625), (46.5, 35.0), (48.5, 32.5), (49.5, 31.25), (48.0, 36.25), (48.0, 36.875), (49.5, 31.875), (49.5, 40.0), (45.0, 28.75), (50.5, 23.75), (51.0, 25.0), (45.5, 36.25), (45.5, 36.875), (52.0, 24.375), (47.5, 33.125), (51.0, 34.375), (50.0, 36.25), (52.0, 33.125), (50.0, 36.875), (47.5, 33.75), (50.0, 27.5), (50.5, 32.5), (49.0, 25.0), (49.0, 25.625), (51.5, 33.125), (51.5, 33.75), (52.0, 33.75), (46.5, 28.75), (48.5, 25.0), (48.5, 25.625), (49.5, 24.375), (48.0, 29.375), (48.5, 34.375), (49.5, 33.125), (48.0, 38.75), (48.0, 38.125), (49.5, 33.75), (45.0, 30.0), (45.5, 29.375), (52.0, 31.875), (50.5, 25.0), (50.5, 25.625), (51.0, 27.5), (50.0, 29.375), (52.0, 26.25), (52.0, 26.875), (47.5, 35.0), (47.5, 35.625), (50.0, 38.125), (50.0, 38.75), (51.5, 26.875), (51.5, 26.25), (48.0, 22.5), (46.5, 30.625), (46.5, 30.0), (48.5, 27.5), (46.0, 34.375), (48.0, 31.25), (48.0, 31.875), (49.5, 26.25), (49.5, 26.875), (49.5, 35.0), (48.0, 40.0), (49.5, 35.625), (49.0, 39.375), (50.5, 27.5), (51.0, 29.375), (50.0, 31.25), (47.5, 37.5), (50.0, 31.875), (51.5, 28.125), (51.5, 28.75), (48.0, 24.375), (46.5, 32.5), (48.5, 29.375), (49.5, 28.125), (48.0, 33.125), (48.0, 33.75), (49.0, 32.5), (49.5, 28.75), (49.5, 37.5), (45.5, 33.125), (45.5, 33.75), (47.5, 30.0), (47.5, 30.625), (47.0, 34.375), (50.0, 24.375), (52.0, 30.625), (50.0, 33.125), (50.0, 33.75), (51.5, 30.0), (51.5, 30.625), (48.5, 22.5), (46.0, 29.375), (48.0, 26.875), (46.5, 34.375), (44.5, 34.375), (48.0, 26.25), (49.5, 30.0), (48.0, 35.0), (48.0, 35.625), (49.0, 34.375), (49.5, 30.625), (49.5, 39.375), (45.5, 35.0), (45.5, 35.625), (47.5, 32.5), (50.0, 26.25), (47.0, 36.25), (47.0, 36.875), (52.0, 32.5), (51.5, 23.75), (50.0, 26.875), (50.0, 35.0), (50.0, 35.625), (51.5, 32.5), (50.5, 34.375), (49.5, 23.125), (48.0, 28.75), (48.0, 28.125), (49.0, 27.5), (49.5, 23.75), (49.5, 32.5), (48.0, 37.5), (49.0, 36.25), (49.0, 36.875), (48.5, 36.25), (48.5, 36.875), (45.5, 28.75), (45.5, 28.125), (47.5, 25.0), (47.0, 29.375), (50.0, 28.125), (52.0, 25.0), (52.0, 25.625), (47.5, 34.375), (47.0, 38.125), (50.0, 37.5), (50.0, 28.75), (50.5, 30.0), (50.5, 30.625), (51.5, 25.0), (51.5, 25.625), (51.5, 34.375), (50.5, 36.25), (52.5, 33.125), (52.5, 33.75), (50.5, 36.875), (46.0, 33.75), (46.0, 33.125), (48.0, 30.0), (48.0, 30.625), (49.0, 29.375), (49.5, 25.0), (48.0, 39.375), (49.5, 25.625), (49.0, 38.125), (49.0, 38.75), (48.5, 38.125), (48.5, 38.75), (45.5, 30.0), (45.0, 34.375), (47.0, 31.875), (47.0, 31.25), (52.0, 27.5), (50.0, 30.0), (50.0, 30.625), (51.5, 27.5), (50.5, 29.375), (51.0, 31.25), (51.0, 31.875), (48.0, 23.75), (48.0, 23.125), (49.0, 22.5), (46.0, 35.0), (48.0, 32.5), (49.0, 31.25), (49.0, 31.875), (49.0, 40.0), (48.5, 31.25), (48.5, 31.875), (48.5, 40.0), (45.5, 32.5), (50.0, 23.125), (50.0, 23.75), (45.0, 36.25), (47.0, 33.125), (47.0, 33.75), (50.0, 32.5), (51.0, 24.375), (51.5, 29.375), (50.5, 31.25), (50.5, 31.875), (51.0, 33.125), (51.0, 33.75), (46.0, 28.75), (48.0, 25.625), (48.0, 25.0), (44.5, 33.75), (44.5, 33.125), (49.0, 24.375), (48.0, 34.375), (49.0, 33.125), (48.5, 24.375), (49.0, 33.75), (46.5, 36.25), (48.5, 33.125), (48.5, 33.75), (45.0, 29.375), (50.0, 25.0), (50.0, 25.625), (47.0, 35.0), (47.0, 35.625), (50.5, 24.375), (51.0, 26.25), (51.0, 26.875), (51.5, 31.25), (50.5, 33.125), (50.5, 33.75), (51.0, 35.0), (51.0, 35.625), (52.0, 34.375), (51.5, 31.875), (46.0, 30.625), (46.0, 30.0), (49.0, 26.25), (49.0, 26.875), (46.5, 29.375), (48.5, 26.875), (48.5, 26.25), (49.0, 35.0), (49.0, 35.625), (48.5, 35.0), (48.5, 35.625), (49.5, 34.375), (47.0, 37.5), (51.5, 24.375), (50.5, 26.25), (50.5, 26.875), (51.0, 28.125), (51.0, 28.75), (47.5, 36.25), (50.5, 35.625), (52.5, 32.5), (47.5, 36.875), (50.0, 39.375), (50.5, 35.0), (46.0, 32.5), (51.0, 25.625), (49.0, 28.125), (49.0, 28.75), (46.5, 31.875), (46.5, 31.25), (48.5, 28.125), (48.5, 28.75), (49.0, 37.5), (49.5, 27.5), (48.5, 37.5), (49.5, 36.25), (49.5, 36.875), (45.0, 33.75), (45.0, 33.125), (47.0, 30.0), (47.0, 30.625), (47.5, 29.375), (50.5, 28.125), (50.5, 28.75), (51.0, 30.0), (51.0, 30.625), (47.5, 38.75), (50.5, 37.5), (47.5, 38.125), (49.0, 30.0), (48.5, 21.875), (49.0, 30.625), (46.5, 33.125), (46.5, 33.75), (48.5, 30.0), (48.5, 30.625), (49.5, 29.375), (48.5, 39.375), (49.5, 38.125), (49.5, 38.75), (45.0, 35.625), (45.0, 35.0), (47.0, 32.5), (51.0, 23.75), (45.5, 34.375), (47.5, 31.875), (47.5, 31.25), (51.0, 32.5), (50.0, 34.375), (52.0, 31.25)]"
DEU,"[(54.5, 9.375), (53.0, 14.375), (54.0, 13.75), (54.0, 13.125), (50.0, 6.25), (50.0, 6.875), (51.0, 7.5), (52.5, 11.25), (52.5, 11.875), (52.0, 15.0), (48.0, 8.75), (48.0, 8.125), (49.0, 7.5), (48.5, 7.5), (53.0, 7.5), (54.5, 11.25), (50.5, 7.5), (51.0, 9.375), (52.0, 8.125), (52.0, 8.75), (52.5, 13.125), (52.5, 13.75), (49.0, 9.375), (48.5, 9.375), (49.5, 8.125), (49.5, 8.75), (53.0, 9.375), (54.0, 8.75), (54.5, 13.75), (54.5, 13.125), (47.5, 10.625), (47.5, 10.0), (52.5, 6.875), (50.5, 9.375), (51.0, 11.25), (51.0, 11.875), (52.0, 10.0), (52.5, 15.0), (52.0, 10.625), (49.0, 11.25), (49.0, 11.875), (48.5, 11.25), (48.5, 11.875), (49.5, 10.0), (49.5, 10.625), (53.0, 11.25), (55.0, 8.75), (54.0, 10.625), (55.0, 8.125), (53.0, 11.875), (54.0, 10.0), (53.5, 10.0), (53.5, 10.625), (47.5, 12.5), (50.5, 11.875), (50.5, 11.25), (51.0, 13.75), (51.0, 13.125), (52.0, 12.5), (52.5, 8.125), (52.5, 8.75), (51.5, 12.5), (48.5, 13.75), (48.5, 13.125), (49.5, 12.5), (53.0, 13.125), (53.0, 13.75), (54.0, 12.5), (53.5, 12.5), (51.0, 6.25), (50.0, 8.125), (50.0, 8.75), (50.5, 13.75), (50.5, 13.125), (51.0, 15.0), (51.0, 6.875), (52.0, 14.375), (51.5, 14.375), (48.0, 10.0), (48.0, 10.625), (53.0, 6.875), (54.0, 14.375), (53.5, 14.375), (47.5, 7.5), (50.5, 6.25), (50.5, 6.875), (51.0, 8.125), (50.0, 10.0), (50.0, 10.625), (51.0, 8.75), (52.0, 7.5), (51.5, 7.5), (48.5, 8.125), (48.5, 8.75), (49.5, 7.5), (48.0, 12.5), (53.0, 8.125), (53.0, 8.75), (53.5, 7.5), (47.5, 9.375), (51.0, 10.0), (50.0, 12.5), (51.0, 10.625), (52.0, 9.375), (51.5, 9.375), (49.5, 9.375), (49.0, 13.125), (49.0, 13.75), (54.0, 9.375), (53.5, 9.375), (54.5, 8.75), (54.5, 8.125), (55.0, 10.0), (47.5, 11.875), (47.5, 11.25), (52.0, 11.25), (52.0, 11.875), (51.5, 11.25), (51.5, 11.875), (52.5, 10.0), (52.5, 10.625), (48.0, 7.5), (49.0, 6.875), (49.5, 11.25), (49.5, 11.875), (54.0, 11.25), (54.0, 11.875), (53.5, 11.25), (53.5, 11.875), (54.5, 10.0), (54.5, 10.625), (50.0, 7.5), (47.5, 13.125), (52.0, 13.125), (52.0, 13.75), (51.5, 13.125), (51.5, 13.75), (52.5, 12.5), (48.0, 9.375), (49.0, 8.125), (49.0, 8.75), (49.5, 13.125), (53.5, 13.125), (53.5, 13.75), (54.5, 12.5), (50.0, 9.375), (52.0, 6.25), (52.0, 6.875), (51.5, 6.25), (50.5, 8.125), (50.5, 8.75), (51.5, 6.875), (51.5, 15.0), (52.5, 14.375), (49.5, 6.875), (49.5, 6.25), (48.0, 11.25), (48.0, 11.875), (49.0, 10.0), (49.0, 10.625), (48.5, 10.0), (48.5, 10.625), (53.5, 6.875), (53.0, 10.0), (53.0, 10.625), (47.5, 8.75), (47.5, 8.125), (50.0, 11.25), (50.0, 11.875), (51.5, 8.125), (50.5, 10.0), (50.5, 10.625), (51.0, 12.5), (51.5, 8.75), (52.5, 7.5), (48.0, 13.125), (49.0, 12.5), (48.5, 12.5), (53.5, 8.125), (53.5, 8.75), (53.0, 12.5), (55.0, 9.375), (51.0, 5.625), (51.5, 10.0), (50.5, 12.5), (51.5, 10.625), (51.0, 14.375), (52.5, 9.375)]"
