"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2023","93.25","93.25","93.25","93.25","0.00K","-21.66%"
"05/26/2023","119.03","119.03","119.03","119.03","","0.45%"
"05/25/2023","118.50","118.50","118.50","118.50","","-0.13%"
"05/24/2023","118.65","118.65","118.65","118.65","","-0.29%"
"05/23/2023","119.00","119.00","119.00","119.00","","0.00%"
"05/22/2023","119.00","119.00","119.00","119.00","","0.51%"
"05/19/2023","118.40","118.40","118.40","118.40","","0.68%"
"05/18/2023","117.60","117.60","117.60","117.60","","-0.21%"
"05/17/2023","117.85","117.85","117.85","117.85","","0.60%"
"05/16/2023","117.15","117.15","117.15","117.15","","-1.14%"
"05/15/2023","118.50","118.50","118.50","118.50","0.00K","-0.55%"
"05/12/2023","119.15","119.15","119.15","119.15","","-0.17%"
"05/11/2023","119.35","119.35","119.35","119.35","","-1.77%"
"05/10/2023","121.50","121.50","121.50","121.50","","-2.99%"
"05/09/2023","125.25","125.25","125.25","125.25","","-1.26%"
"05/08/2023","126.85","126.85","126.85","126.85","","0.00%"
"05/05/2023","126.85","126.85","126.85","126.85","","0.16%"
"05/04/2023","126.65","126.65","126.65","126.65","","-1.55%"
"05/03/2023","128.65","128.65","128.65","128.65","","-4.28%"
"05/02/2023","134.40","134.40","134.40","134.40","","-1.36%"
"05/01/2023","136.25","136.25","136.25","136.25","","-2.91%"
"04/28/2023","140.34","140.34","140.34","140.34","","0.31%"
"04/27/2023","139.90","139.90","139.90","139.90","","-0.14%"
"04/26/2023","140.10","140.10","140.10","140.10","","0.07%"
"04/25/2023","140.00","140.00","140.00","140.00","","1.19%"
"04/24/2023","138.35","138.35","138.35","138.35","","-0.04%"
"04/21/2023","138.40","138.40","138.40","138.40","","-0.07%"
"04/20/2023","138.50","138.50","138.50","138.50","","0.84%"
"04/19/2023","137.35","137.35","137.35","137.35","","0.51%"
"04/18/2023","136.65","136.65","136.65","136.65","","0.37%"
"04/17/2023","136.15","136.15","136.15","136.15","","0.11%"
"04/14/2023","136.00","136.00","136.00","136.00","","1.34%"
"04/13/2023","134.20","134.20","134.20","134.20","0.00K","1.09%"
"04/12/2023","132.75","132.75","132.75","132.75","","1.92%"
"04/11/2023","130.25","130.25","130.25","130.25","","-3.98%"
