,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P0,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P1,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P1,"$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P0","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P1",$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P1,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P1,"$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P1"
0,-95.8533812628275,,-54.157460909336805,,-21.286328349529185,,-76.48301032930613,,-72.69852167420322,,-73.63854597706813,-22.277543951990083,-95.42332321265712,71.59367474284954,-93.9663501457544,65.44473349489272
1,-110.73796886945638,,-150.12772214179859,,-22.816184856647396,,-100.22970908880234,,-144.16999638592824,,-151.8359627162572,41.45535225584172,-107.55032030807342,81.5194444336812,-125.04686930822209,65.44480969198048
2,-99.71217640508621,,-96.52846341859549,,-22.004729248831154,,-112.82508817315102,,-79.21536499477224,,-83.21554787200876,-16.553277975297533,-96.26946905662771,71.6855508639128,-90.79839050129522,36.15818427596241
3,-97.94549362219732,,-119.90169780049473,,-20.914042877284146,,-101.76890555024147,,-113.07130170683376,,-118.57867593376432,20.829427666729316,-99.27935565932421,75.70717509859242,-108.21818336518481,49.926745218690485
4,-107.67660176168829,,-134.28793847793713,,-22.303178619549726,,-101.4941211938858,,-107.14366249379236,,-115.2343859965913,7.653259523329325,-92.90412044437835,68.05928439320996,-100.61701514176093,46.87426617834717
5,-106.37157824822589,,-108.21289063245058,,-22.926512417844492,,-101.0994385657832,,-100.76434923498891,,-108.05559416371398,1.7392992560053244,-100.51949436526047,74.71093758015195,-104.47681721427944,34.602222150191665
6,-100.53342486557449,,-101.37778151826933,,-21.598770280930808,,-102.21732194721699,,-95.87260127684567,,-101.34612124646083,0.8521314804675058,-97.79354631819297,73.5255095079774,-99.65934269729769,32.56819872651249
7,-99.93159179469876,,-100.85687833093107,,-21.35701023313561,,-97.53926437906921,,-67.45977739494992,,-93.2300286537502,-6.624808480613865,-92.98711633111816,69.1742189861834,-93.16775437609067,79.29377655941062
8,-97.09207463322855,,-83.91041371319443,,-20.869608865705914,,-81.05261623114347,,-78.01559385098517,,-89.53252897108905,-7.53556614392437,-93.33332564320881,70.06792565679643,-92.5901258449303,57.19763756217435
9,-102.93869315068514,,-112.58186490647495,,-22.809641024726716,,-105.30936498939991,,-85.07280064455699,,-99.11990194302052,-3.777830128208734,-93.69613312132424,68.25971617765026,-94.56381009798497,54.90238784998655
