,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P0,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P1,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P1,"$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P0","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P1",$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P1,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P1,"$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P1"
12,-324.2570079729794,,-88.76486578444019,,-100.53687947378785,,-86.04620170593262,,-97.54634820923093,,59.85903575771954,-382.06839472672436,-91.28779619652778,-8.258694971795194,-88.40361541917082,-14.201854147017002
13,-318.83737105288856,,-102.44098727963865,,-99.86904978583334,,-100.71285463869572,,-97.97947657387704,,45.51605148403905,-362.6278219324304,-94.03954894735944,-5.148672006325796,-92.08333299565129,-9.299447325523943
14,-323.77773642184366,,-107.94651824468747,,-101.69834538288706,,-104.73900040984154,,-103.28912319778465,,29.763840559287928,-352.14070907013956,-107.21351332345512,4.965332124615088,-109.69662347109988,10.330301633570343
15,-323.7811633919482,,-93.94345225160941,,-100.7563308490935,,-95.70556925237179,,-104.54531382210553,,43.618358438136056,-365.972549139522,-104.99172293912852,3.833693493390456,-98.87196558935102,-9.14390508737415
16,-322.08334172077775,,-93.25168875278905,,-100.38676830384065,,-100.32822358980775,,-100.53897446932388,,48.889023900963366,-369.2081461675698,-102.06356021185638,1.5556351114064455,-103.79137803229969,5.127216508379206
17,-323.880297920241,,-99.08222290500998,,-99.7058848378947,,-95.95537814497948,,-98.3719252817391,,45.148103253450245,-367.34954940888565,-95.14136781991692,-4.032304675260093,-93.25166786077898,-8.057695938972756
18,-325.23153083764737,,-95.5299460683018,,-100.22461771706003,,-92.81717823073268,,-98.23778654867783,,56.109713147277944,-379.3655458164867,-94.03355401352746,-5.516494424373377,-92.01553483540192,-9.69842945993878
19,-323.67253592761153,,-106.45202913926914,,-98.75598974720924,,-104.94621981680393,,-95.89967485851957,,53.69705295027234,-375.15881212300155,-95.75270776223624,-2.641002404736355,-100.469618768082,7.052086745854467
20,-324.87355240452416,,-112.80394351715222,,-100.34997512925474,,-103.27388504520059,,-100.1310790219577,,27.139008345431648,-350.3244727208512,-101.58478143916,1.1300405306974426,-103.5411242354894,5.449512385996059
21,-319.63804355976936,,-104.13831155141816,,-100.10820185758348,,-104.45633015409112,,-100.7729608178488,,48.23986656649504,-366.32021920208354,-100.60350712155923,0.4867503003915772,-99.08097015426029,-2.68734252336435
